"","X1","X2","Y","predY100","predY25","predY50","predY200","predY400","predY800","predY1600","predY3200"
"1",0,0,0,2,2,2,2,1,1,1,1
"3",0,1,2,0,0,0,0,0,0,0,0
"11",0,0,1,2,2,2,2,1,1,1,1
"12",0,0,1,2,2,2,2,1,1,1,1
"4",1,1,0,0,2,0,0,0,0,0,0
"6",1,2,0,2,2,2,2,2,2,2,2
"5",0,2,2,2,2,2,2,2,2,2,2
"13",0,0,0,2,2,2,2,1,1,1,1
"2",1,0,0,2,2,2,2,2,2,2,2
"31",0,1,2,0,0,0,0,0,0,0,0
"32",0,1,0,0,0,0,0,0,0,0,0
"14",0,0,2,2,2,2,2,1,1,1,1
"21",1,0,0,2,2,2,2,2,2,2,2
"33",0,1,0,0,0,0,0,0,0,0,0
"41",1,1,0,0,2,0,0,0,0,0,0
"61",1,2,0,2,2,2,2,2,2,2,2
"22",1,0,2,2,2,2,2,2,2,2,2
"34",0,1,0,0,0,0,0,0,0,0,0
"35",0,1,2,0,0,0,0,0,0,0,0
"36",0,1,0,0,0,0,0,0,0,0,0
"51",0,2,2,2,2,2,2,2,2,2,2
"23",1,0,2,2,2,2,2,2,2,2,2
"42",1,1,0,0,2,0,0,0,0,0,0
"15",0,0,1,2,2,2,2,1,1,1,1
"24",1,0,2,2,2,2,2,2,2,2,2
"16",0,0,1,2,2,2,2,1,1,1,1
"37",0,1,0,0,0,0,0,0,0,0,0
"52",0,2,2,2,2,2,2,2,2,2,2
"17",0,0,1,2,2,2,2,1,1,1,1
"53",0,2,2,2,2,2,2,2,2,2,2
"18",0,0,1,2,2,2,2,1,1,1,1
"25",1,0,1,2,2,2,2,2,2,2,2
"43",1,1,0,0,2,0,0,0,0,0,0
"19",0,0,1,2,2,2,2,1,1,1,1
"38",0,1,2,0,0,0,0,0,0,0,0
"39",0,1,0,0,0,0,0,0,0,0,0
"62",1,2,0,2,2,2,2,2,2,2,2
"310",0,1,2,0,0,0,0,0,0,0,0
"311",0,1,1,0,0,0,0,0,0,0,0
"312",0,1,2,0,0,0,0,0,0,0,0
"110",0,0,0,2,2,2,2,1,1,1,1
"26",1,0,0,2,2,2,2,2,2,2,2
"111",0,0,1,2,2,2,2,1,1,1,1
"27",1,0,2,2,2,2,2,2,2,2,2
"313",0,1,0,0,0,0,0,0,0,0,0
